customer_id,company_name,contact_email,industry,plan_tier,region,signup_date,mrr,expansion_arr_ltm,last_login_days,support_tickets_90d,churn_risk_score
CUS-1000,Tidepool Inc,tidepool0@example.com,Retail,Pro,NA,2023-09-01,1232.68,6415.49,1,0,20.5
CUS-1001,Acme Analytics,acme1@example.com,Education,Pro,APAC,2023-03-01,1027.01,6309.35,14,0,20.1
CUS-1002,Mica Works,mica2@example.com,Healthcare,Free,NA,2023-11-01,0,0,3,1,84.5
CUS-1003,Helix Media,helix3@example.com,Manufacturing,Pro,APAC,2023-03-01,1211.43,6445.05,3,1,29.5
CUS-1004,Atlas Works,atlas4@example.com,Manufacturing,Starter,NA,2023-05-01,186.33,1061.73,90,2,62.9
CUS-1005,Nova Works,nova5@example.com,Retail,Starter,NA,2023-09-01,163.38,805.62,1,1,29.6
CUS-1006,Tidepool AI,tidepool6@example.com,Fintech,Starter,NA,2023-12-01,227.49,526.31,90,0,55.9
CUS-1007,Mica Labs,mica7@example.com,Healthcare,Free,NA,2023-04-01,0,0,7,8,96
CUS-1008,Stellar Logistics,stellar8@example.com,Media,Pro,NA,2023-07-01,1098.68,5658.87,7,0,29.4
CUS-1009,Argo Logistics,argo9@example.com,Media,Pro,EMEA,2023-01-01,1014.84,2955.87,1,0,12.7
CUS-1010,Forge Works,forge10@example.com,Media,Starter,NA,2023-06-01,174.87,65.36,1,1,24.2
CUS-1011,Harbor Analytics,harbor11@example.com,SaaS,Enterprise,LATAM,2023-01-01,5269.67,19113.67,7,0,15.8
CUS-1012,Acme Retail,acme12@example.com,Education,Pro,NA,2023-04-01,1055.58,4733.05,14,0,19.7
CUS-1013,Forge Media,forge13@example.com,Logistics,Starter,EMEA,2023-03-01,151.08,351.67,14,2,39.3
CUS-1014,Stellar Labs,stellar14@example.com,SaaS,Pro,APAC,2023-07-01,1005.95,2436.93,1,5,34.5
CUS-1015,Argo Capital,argo15@example.com,Healthcare,Free,LATAM,2023-01-01,0,699.74,1,1,71.3
CUS-1016,Linden Labs,linden16@example.com,SaaS,Starter,APAC,2023-06-01,205.69,811.39,7,0,18.3
CUS-1017,Orbit Retail,orbit17@example.com,Retail,Pro,NA,2023-07-01,1156.81,983.45,1,1,26.2
